"","Antal laddhybrider","Antal elbilar","Antal laddbara fordon","Laddbara fordon/capita","Antal laddpunkter","Antal laddstationer","DC laddstationer","LP/capita","LP/Personbil","Andel av bilbestånd","CPEV"
"ALE","649","1032","1786","5.48","50","12","8","0.15","0.32","10.65","0.03"
"ALINGSÅS","1068","1615","2782","6.51","100","22","8","0.23","0.48","12.97","0.04"
"ALVESTA","495","546","1085","5.47","115","36","2","0.58","1.06","9.56","0.11"
"ANEBY","128","181","315","4.63","110","19","5","1.62","2.71","7.61","0.35"
"ARBOGA","249","268","549","3.93","50","8","6","0.36","0.67","6.89","0.09"
"ARJEPLOG","23","14","42","1.62","44","8","4","1.69","2.57","2.16","1.05"
"ARVIDSJAUR","66","76","178","2.92","45","8","7","0.74","1.17","3.68","0.25"
"ARVIKA","652","559","1255","4.91","120","37","5","0.47","0.78","7.89","0.1"
"ASKERSUND","208","229","462","4.03","68","28","3","0.59","0.95","6.08","0.15"
"AVESTA","652","514","1258","5.61","73","12","5","0.33","0.55","8.82","0.06"
"BENGTSFORS","157","120","294","3.24","26","8","0","0.29","0.47","5.04","0.09"
"BERG","76","138","224","3.15","235","29","12","3.31","5.2","4.74","1.05"
"BJURHOLM","25","23","48","2.03","0","0","0","0.0","0.0","3.4","0.0"
"BJUV","238","250","520","3.25","39","8","1","0.24","0.45","5.62","0.08"
"BODEN","444","541","1029","3.67","151","36","10","0.54","0.91","5.94","0.15"
"BOLLEBYGD","212","363","591","6.03","25","7","0","0.26","0.46","10.66","0.04"
"BOLLNÄS","551","639","1262","4.81","83","13","8","0.32","0.54","7.78","0.07"
"BORGHOLM","200","193","421","3.95","178","35","5","1.67","2.69","5.94","0.42"
"BORLÄNGE","1657","1445","3253","6.33","336","60","14","0.65","1.18","10.94","0.1"
"BORÅS","3279","4281","8049","7.01","525","80","19","0.46","0.98","14.05","0.07"
"BOTKYRKA","1672","1843","3779","3.94","131","20","7","0.14","0.42","11.27","0.04"
"BOXHOLM","95","116","224","4.06","10","3","2","0.18","0.31","6.49","0.04"
"BROMÖLLA","220","219","445","3.57","46","10","3","0.37","0.67","6.39","0.1"
"BRÄCKE","47","85","133","2.2","50","12","6","0.83","1.35","3.56","0.38"
"BURLÖV","353","426","805","4.0","132","15","5","0.66","1.58","9.35","0.16"
"BÅSTAD","530","647","1209","7.54","247","40","3","1.54","2.63","12.54","0.2"
"DALS-ED","66","71","141","3.06","16","5","2","0.35","0.55","4.71","0.11"
"DANDERYD","3178","4412","7773","23.97","204","44","5","0.63","1.16","43.12","0.03"
"DEGERFORS","170","175","374","4.03","15","7","1","0.16","0.28","6.39","0.04"
"DOROTEA","16","3","19","0.83","10","3","3","0.44","0.66","1.25","0.53"
"EDA","124","74","205","2.44","49","6","3","0.58","0.93","3.77","0.24"
