"","Antal laddhybrider","Antal elbilar","Antal laddbara fordon","Laddbara fordon/capita","Antal laddpunkter","Antal laddstationer","DC laddstationer","LP/capita","LP/Personbil","Andel av bilbestånd","CPEV"
"ALE","546","921","1533","4,73","21","4","4","0,06","0,13","9,26","0,01"
"ALINGSÅS","919","1386","2395","5,68","44","12","3","0,1","0,21","11,24","0,02"
"ALVESTA","412","464","901","4,45","59","10","1","0,29","0,53","7,85","0,07"
"ANEBY","89","166","261","3,82","81","15","3","1,19","2,04","6,43","0,31"
"ARBOGA","199","225","445","3,16","46","6","6","0,33","0,6","5,57","0,1"
"ARJEPLOG","21","15","41","1,54","16","3","3","0,6","0,93","2,09","0,39"
"ARVIDSJAUR","46","51","108","1,77","23","8","6","0,38","0,61","2,59","0,21"
"ARVIKA","534","472","1029","3,98","47","10","4","0,18","0,31","6,62","0,05"
"ASKERSUND","161","193","371","3,23","66","26","3","0,57","0,93","4,98","0,18"
"AVESTA","563","440","1059","4,62","45","6","4","0,2","0,33","7,46","0,04"
"BENGTSFORS","134","109","253","2,73","18","7","0","0,19","0,31","4,23","0,07"
"BERG","72","133","212","2,95","158","24","10","2,2","3,53","4,58","0,75"
"BJURHOLM","19","18","37","1,56","0","0","0","0","0","2,66","0"
"BJUV","183","230","441","2,75","8","2","0","0,05","0,09","4,74","0,02"
"BODEN","329","481","847","3,02","117","28","8","0,42","0,72","4,98","0,14"
"BOLLEBYGD","192","315","514","5,3","2","1","0","0,02","0,04","9,43","0"
"BOLLNÄS","317","553","930","3,49","73","10","5","0,27","0,47","5,65","0,08"
"BORGHOLM","134","180","337","3,1","118","22","5","1,09","1,77","4,7","0,35"
"BORLÄNGE","1433","1235","2763","5,3","259","41","10","0,5","0,94","9,71","0,09"
"BORÅS","2726","3717","6797","5,94","325","56","15","0,28","0,59","11,77","0,05"
"BOTKYRKA","1317","1629","3071","3,22","58","9","2","0,06","0,19","9,57","0,02"
"BOXHOLM","73","101","183","3,33","8","2","1","0,15","0,25","5,34","0,04"
"BROMÖLLA","181","185","369","2,92","33","8","4","0,26","0,47","5,24","0,09"
"BRÄCKE","33","74","108","1,75","42","9","5","0,68","1,1","2,82","0,39"
"BURLÖV","288","374","681","3,43","72","10","3","0,36","0,86","7,91","0,11"
"BÅSTAD","434","544","1001","6,33","121","24","1","0,76","1,3","10,52","0,12"
"DALS-ED","63","59","126","2,71","12","4","1","0,26","0,41","4,12","0,1"
"DANDERYD","3200","3725","7080","21,66","162","39","4","0,5","0,92","39,14","0,02"
